unit,nace_r2,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
MIO_EUR,TOTAL,BG	317 p	223 	163 	154 	117 	108 	55 	52 	43 	31 	23 
MIO_EUR,TOTAL,CH	: 	: 	: 	10636 	: 	: 	: 	7547 	: 	: 	: 
MIO_EUR,TOTAL,CN_X_HK	: 	122905 	111161 	96756 	73136 	57801 	44592 b	33077 	25744 	21325 	16417 
MIO_EUR,TOTAL,CY	13 p	15 	13 	12 	13 	15 	16 	17 	16 	14 	12 
MIO_EUR,TOTAL,CZ	1765 p	1730 	1622 	1542 	1412 	1209 	1087 	1173 	1057 	912 	759 
MIO_EUR,TOTAL,DE	59058 e	56997 	53566 	53790 	51077 	46929 	45275 	46073 	43034 	41148 	38651 
MIO_EUR,TOTAL,DK	4975 e	4865 	4868 	4977 	4870 	4755 	4931 	4684 	4102 b	3628 	3477 
MIO_EUR,TOTAL,EE	139 p	125 	156 	219 	243 	117 	88 	90 	82 	67 	47 
MIO_EUR,TOTAL,EL	561 p	504 	489 	459 	486 	533 e	538 e	501 e	384 	367 e	357 
MIO_EUR,TOTAL,ES	6906 p	6784 	6906 	7094 	7396 	7506 	7568 	8074 b	7454 	6558 	5485 
MIO_EUR,TOTAL,EU28	191713 p	182463 	174254 	171748 	164188 	152776 	146614 	151716 	146056 	137177 	127120 
MIO_EUR,TOTAL,FI	4047 	4410 	4602 	4695 	5047 	4854 	4847 	5102 	4513 	4108 	3877 
MIO_EUR,TOTAL,FR	31668 p	31133 	30708 	30041 	28851 	27455 	26426 	25761 	24753 	23911 b	22503 
MIO_EUR,TOTAL,HR	192 	164 	178 	151 	150 	148 	154 	188 	141 	109 	129 
MIO_EUR,TOTAL,HU	1110 d	1022 d	983 d	825 d	752 d	674 d	611 d	557 d	492 d	435 d	362 d
MIO_EUR,TOTAL,IE	: 	2107 e	2022 	1962 e	1860 	1834 e	1868 	1687 	1603 	1466 	1330 
MIO_EUR,TOTAL,IS	214 	159 	115 b	: 	140 e	132 e	123 	149 	219 	212 	187 
MIO_EUR,TOTAL,IT	12106 p	12344 	11480 	11107 	10825 	10579 	10238 	10173 	9455 	8210 	7856 
MIO_EUR,TOTAL,JP	: 	96831 	97886 	118748 	110596 	103321 	91943 	89436 	85770 	91271 	93137 
MIO_EUR,TOTAL,KR	: 	35658 	32024 	29856 	24775 	21415 	15887 	16188 	18747 b	17627 d	14576 d
MIO_EUR,TOTAL,LT	104 p	116 	85 	80 	74 	65 	55 	61 	66 	53 	32 
MIO_EUR,TOTAL,LU	342 p	338 	318 	310 b	416 	400 	471 	482 	495 	485 	408 
MIO_EUR,TOTAL,LV	38 p	58 	39 	33 	39 	40 	31 	35 	41 	57 	30 
MIO_EUR,TOTAL,ME	: 	5 	6 	: 	3 	: 	: 	: 	: 	: 	: 
MIO_EUR,TOTAL,MT	33 p	33 	31 	34 	30 	25 	20 	21 	21 	21 	18 
MIO_EUR,TOTAL,NL	7574 p	7433 	7095 	7078 b	6922 b	5218 	4900 	5263 	5495 	5480 	5169 
MIO_EUR,TOTAL,NO	3656 p	3464 	3412 	3360 	3042 	2737 	2475 	2620 	2410 	2142 	1971 
MIO_EUR,TOTAL,PL	2010 	1800 	1499 	1276 	855 	694 	597 	679 	535 	477 	440 
MIO_EUR,TOTAL,PT	1079 p	1036 	1073 	1153 	1216 	1266 	1311 	1295 	1011 	736 e	462 
MIO_EUR,TOTAL,RO	344 	238 	171 	251 	237 b	220 	223 	242 	272 	215 	163 
MIO_EUR,TOTAL,RS	: 	76 b	33 	72 	23 	26 	38 	: 	: 	: 	: 
MIO_EUR,TOTAL,RU	7955 	9915 	10733 	10226 	9101 	7866 	6866 	7446 	6807 	5643 	4458 
MIO_EUR,TOTAL,SE	10137 p	9126 e	9933 	9417 e	9088 	8160 e	7577 	9119 e	8470 	8754 e	7725 b
MIO_EUR,TOTAL,SI	651 p	689 	716 	703 	660 b	506 	424 	398 b	299 	291 	243 
MIO_EUR,TOTAL,SK	259 	247 	283 	242 	174 	175 	124 	131 	100 	93 	97 
MIO_EUR,TOTAL,TR	: 	3014 	2775 	2546 	2061 	1975 	1496 	1599 	1407 	901 	774 
MIO_EUR,TOTAL,UK	28839 e	24730 	21721 	21096 	20058 b	18731 	17537 	19962 	22842 	20985 	19464 
MIO_EUR,TOTAL,US	: 	: 	242849 d	235251 d	211273 d	210438 d	202461 d	197635 d	196474 d	197252 d	181785 d
